Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem),,,
0,0.0,30.43,50,,,
0.25,0.0,30.43,50,,,
0.5,0.0,30.43,50,,,
0.75,0.0,30.43,50,,,
1,0.0,30.43,50,,,
1.25,0.0,29.33,50,,,
1.5,0.0,29.33,50,,,
1.75,0.0,30.43,50,,,
2,0.0,30.43,50,,,
2.25,0.0,31.35,50,,,
2.5,0.0,31.35,50,,,
2.75,0.0,30.43,50,,,
3,0.1,30.43,50,,,
3.25,0.1,32.28,50,,,
3.5,0.1,32.28,50,,,
3.75,0.1,33.2,50,,,
4,0.1,33.2,50,,,
4.25,0.1,34.12,50,,,
4.5,0.1,34.12,50,,,
4.75,0.1,33.2,50,,,
5,0.1,33.2,50,,,
5.25,0.1,33.2,50,,,
5.5,0.1,33.2,50,,,
5.75,0.1,31.35,50,,,
6,0.1,31.35,50,,,
6.25,0.1,31.35,50,,,
6.5,0.1,31.35,50,,,
6.75,0.1,33.2,50,,,
7,0.1,33.2,50,,,
7.25,0.1,32.28,50,,,
7.5,0.1,32.28,50,,,
7.75,0.1,33.2,50,,,
8,0.1,33.2,50,,,
8.25,0.1,34.12,50,,,
8.5,0.1,34.12,50,,,
8.75,0.1,32.28,50,,,
9,0.2,32.28,50,,,
9.25,0.2,33.2,50,,,
9.5,0.2,33.2,50,,,
9.75,0.2,33.2,50,,,
10,0.2,33.2,50,,,
10.25,0.2,32.28,50,,,
10.5,0.2,32.28,50,,,
10.75,0.2,32.28,50,,,
11,0.2,32.28,50,,,
11.25,0.2,33.2,50,,,
11.5,0.2,33.2,50,,,
11.75,0.2,32.28,50,,,
12,0.2,32.28,50,,,
12.25,0.2,32.28,50,,,
12.5,0.2,32.28,50,,,
12.75,0.2,33.2,50,,,
13,0.2,33.2,50,,,
13.25,0.2,32.28,50,,,
13.5,0.2,32.28,50,,,
13.75,0.2,32.28,50,,,
14,0.2,32.28,50,,,
14.25,0.2,32.28,50,,,
14.5,0.2,32.28,50,,,
14.75,0.2,31.35,50,,,
15,0.3,31.35,50,,,
15.25,0.3,30.43,50,,,
15.5,0.3,30.43,50,,,
15.75,0.3,29.33,50,,,
16,0.3,29.33,50,,,
16.25,0.3,31.35,50,,,
16.5,0.3,31.35,50,,,
16.75,0.3,31.35,50,,,
17,0.3,31.35,50,,,
17.25,0.3,31.35,50,,,
17.5,0.3,31.35,50,,,
17.75,0.3,31.35,50,,,
18,0.3,31.35,50,,,
18.25,0.3,30.43,50,,,
18.5,0.3,30.43,50,,,
18.75,0.3,29.33,50,,,
19,0.3,29.33,50,,,
19.25,0.3,29.33,50,,,
19.5,0.3,29.33,50,,,
19.75,0.3,29.33,50,,,
20,0.3,29.33,50,,,
20.25,0.3,29.33,50,,,
20.5,0.3,29.33,50,,,
20.75,0.3,30.43,50,,,
21,0.4,30.43,50,,,
21.25,0.4,30.43,50,,,
21.5,0.4,30.43,50,,,
21.75,0.4,30.43,50,,,
22,0.4,30.43,50,,,
22.25,0.4,31.35,50,,,
22.5,0.4,31.35,50,,,
22.75,0.4,31.35,50,,,
23,0.4,31.35,50,,,
23.25,0.4,30.43,50,,,
23.5,0.4,30.43,50,,,
