Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem),,,
0,0.0,25,30,,,
0.25,0.0,25,30,,,
0.5,0.0,25,30,,,
0.75,0.0,25,30,,,
1,0.0,25,30,,,
1.25,0.0,25,30,,,
1.5,0.0,25,30,,,
1.75,0.0,25,30,,,
2,0.0,25,30,,,
2.25,0.0,25,30,,,
2.5,0.0,25,30,,,
2.75,0.0,25,30,,,
3,0.1,25,30,,,
3.25,0.1,25,30,,,
3.5,0.1,25,30,,,
3.75,0.1,25,30,,,
4,0.1,25,30,,,
4.25,0.1,25,30,,,
4.5,0.1,25,30,,,
4.75,0.1,25,30,,,
5,0.1,25,30,,,
5.25,0.1,25,30,,,
5.5,0.1,25,30,,,
5.75,0.1,25,30,,,
6,0.1,25,30,,,
6.25,0.1,25,30,,,
6.5,0.1,25,30,,,
6.75,0.1,25,30,,,
7,0.1,25,30,,,
7.25,0.1,25,30,,,
7.5,0.1,25,30,,,
7.75,0.1,25,30,,,
8,0.1,25,30,,,
8.25,0.1,25,30,,,
8.5,0.1,25,30,,,
8.75,0.1,25,30,,,
9,0.2,25,30,,,
9.25,0.2,25,30,,,
9.5,0.2,25,30,,,
9.75,0.2,25,30,,,
10,0.2,25,30,,,
10.25,0.2,25,30,,,
10.5,0.2,25,30,,,
10.75,0.2,25,30,,,
11,0.2,25,30,,,
11.25,0.2,25,30,,,
11.5,0.2,25,30,,,
11.75,0.2,25,30,,,
12,0.2,25,30,,,
12.25,0.2,25,30,,,
12.5,0.2,25,30,,,
12.75,0.2,25,30,,,
13,0.2,25,30,,,
13.25,0.2,25,30,,,
13.5,0.2,25,30,,,
13.75,0.2,25,30,,,
14,0.2,25,30,,,
14.25,0.2,25,30,,,
14.5,0.2,25,30,,,
14.75,0.2,25,30,,,
15,0.3,25,30,,,
15.25,0.3,25,30,,,
15.5,0.3,25,30,,,
15.75,0.3,25,30,,,
16,0.3,25,30,,,
16.25,0.3,25,30,,,
16.5,0.3,25,30,,,
16.75,0.3,25,30,,,
17,0.3,25,30,,,
17.25,0.3,25,30,,,
17.5,0.3,25,30,,,
17.75,0.3,25,30,,,
18,0.3,25,30,,,
18.25,0.3,25,30,,,
18.5,0.3,25,30,,,
18.75,0.3,25,30,,,
19,0.3,25,30,,,
19.25,0.3,25,30,,,
19.5,0.3,25,30,,,
19.75,0.3,25,30,,,
20,0.3,25,30,,,
20.25,0.3,25,30,,,
20.5,0.3,25,30,,,
20.75,0.3,25,30,,,
21,0.4,25,30,,,
21.25,0.4,25,30,,,
21.5,0.4,25,30,,,
21.75,0.4,25,30,,,
22,0.4,25,30,,,
22.25,0.4,25,30,,,
22.5,0.4,25,30,,,
22.75,0.4,25,30,,,
23,0.4,25,30,,,
23.25,0.4,25,30,,,
23.5,0.4,25,30,,,
23.75,0.4,25,30,,,
24,0.4,25,30,,,
24.25,0.4,25,30,,,
24.5,0.4,25,30,,,
24.75,0.4,25,30,,,
25,0.4,25,30,,,
25.25,0.4,25,30,,,
25.5,0.4,25,30,,,
25.75,0.4,25,30,,,
26,0.4,25,30,,,
26.25,0.4,25,30,,,
26.5,0.4,25,30,,,
26.75,0.4,25,30,,,
27,0.5,25,30,,,
27.25,0.5,25,30,,,
27.5,0.5,25,30,,,
27.75,0.5,25,30,,,
28,0.5,25,30,,,
28.25,0.5,25,30,,,
28.5,0.5,25,30,,,
28.75,0.5,25,30,,,
29,0.5,25,30,,,
29.25,0.5,25,30,,,
29.5,0.5,25,30,,,
29.75,0.5,25,30,,,
30,0.5,25,30,,,
30.25,0.5,25,30,,,
30.5,0.5,25,30,,,
30.75,0.5,25,30,,,
31,0.5,25,30,,,
31.25,0.5,25,30,,,
31.5,0.5,25,30,,,
31.75,0.5,25,30,,,
32,0.5,25,30,,,
32.25,0.5,25,30,,,
32.5,0.5,25,30,,,
32.75,0.5,25,30,,,
33,0.6,25,30,,,
33.25,0.6,25,30,,,
33.5,0.6,25,30,,,
33.75,0.6,25,30,,,
34,0.6,25,30,,,
34.25,0.6,25,30,,,
34.5,0.6,25,30,,,
34.75,0.6,25,30,,,
35,0.6,25,30,,,
35.25,0.6,25,30,,,
