Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem),,,
0,0.0,12,40,,,
0.25,0.0,12,40,,,
0.5,0.0,12,40,,,
0.75,0.0,12,40,,,
1,0.0,12,40,,,
1.25,0.0,12,40,,,
1.5,0.0,12,40,,,
1.75,0.0,12,40,,,
2,0.0,12,40,,,
2.25,0.0,12,40,,,
2.5,0.0,12,40,,,
2.75,0.0,12,40,,,
3,0.1,12,40,,,
3.25,0.1,12,40,,,
3.5,0.1,12,40,,,
3.75,0.1,12,40,,,
4,0.1,12,40,,,
4.25,0.1,12,40,,,
4.5,0.1,12,40,,,
4.75,0.1,12,40,,,
5,0.1,12,40,,,
5.25,0.1,12,40,,,
5.5,0.1,12,40,,,
5.75,0.1,12,40,,,
6,0.1,12,40,,,
6.25,0.1,12,40,,,
6.5,0.1,12,40,,,
6.75,0.1,12,40,,,
7,0.1,12,40,,,
7.25,0.1,12,40,,,
7.5,0.1,12,40,,,
7.75,0.1,12,40,,,
8,0.1,12,40,,,
8.25,0.1,12,40,,,
8.5,0.1,12,40,,,
8.75,0.1,12,40,,,
9,0.2,12,40,,,
9.25,0.2,12,40,,,
9.5,0.2,12,40,,,
9.75,0.2,12,40,,,
10,0.2,12,40,,,
10.25,0.2,12,40,,,
10.5,0.2,12,40,,,
10.75,0.2,12,40,,,
11,0.2,12,40,,,
11.25,0.2,12,40,,,
11.5,0.2,12,40,,,
11.75,0.2,12,40,,,
12,0.2,12,40,,,
12.25,0.2,12,40,,,
12.5,0.2,12,40,,,
12.75,0.2,12,40,,,
13,0.2,12,40,,,
13.25,0.2,12,40,,,
13.5,0.2,12,40,,,
13.75,0.2,12,40,,,
14,0.2,12,40,,,
14.25,0.2,12,40,,,
14.5,0.2,12,40,,,
14.75,0.2,12,40,,,
15,0.3,12,40,,,
15.25,0.3,12,40,,,
15.5,0.3,12,40,,,
15.75,0.3,12,40,,,
16,0.3,12,40,,,
16.25,0.3,12,40,,,
16.5,0.3,12,40,,,
16.75,0.3,12,40,,,
17,0.3,12,40,,,
17.25,0.3,12,40,,,
17.5,0.3,12,40,,,
17.75,0.3,12,40,,,
18,0.3,12,40,,,
18.25,0.3,12,40,,,
18.5,0.3,12,40,,,
18.75,0.3,12,40,,,
19,0.3,12,40,,,
19.25,0.3,12,40,,,
19.5,0.3,12,40,,,
19.75,0.3,12,40,,,
20,0.3,12,40,,,
20.25,0.3,12,40,,,
20.5,0.3,12,40,,,
20.75,0.3,12,40,,,
21,0.4,12,40,,,
21.25,0.4,12,40,,,
21.5,0.4,12,40,,,
21.75,0.4,12,40,,,
22,0.4,12,40,,,
22.25,0.4,12,40,,,
22.5,0.4,12,40,,,
22.75,0.4,12,40,,,
23,0.4,12,40,,,
23.25,0.4,12,40,,,
23.5,0.4,12,40,,,
23.75,0.4,12,40,,,
24,0.4,12,40,,,
24.25,0.4,12,40,,,
24.5,0.4,12,40,,,
24.75,0.4,12,40,,,
25,0.4,12,40,,,
25.25,0.4,12,40,,,
25.5,0.4,12,40,,,
25.75,0.4,12,40,,,
26,0.4,12,40,,,
26.25,0.4,12,40,,,
26.5,0.4,12,40,,,
26.75,0.4,12,40,,,
27,0.5,12,40,,,
27.25,0.5,12,40,,,
27.5,0.5,12,40,,,
27.75,0.5,12,40,,,
28,0.5,12,40,,,
28.25,0.5,12,40,,,
28.5,0.5,12,40,,,
28.75,0.5,12,40,,,
29,0.5,12,40,,,
29.25,0.5,12,40,,,
29.5,0.5,12,40,,,
29.75,0.5,12,40,,,
30,0.5,12,40,,,
30.25,0.5,12,40,,,
30.5,0.5,12,40,,,
30.75,0.5,12,40,,,
31,0.5,12,40,,,
31.25,0.5,12,40,,,
31.5,0.5,12,40,,,
31.75,0.5,12,40,,,
32,0.5,12,40,,,
32.25,0.5,12,40,,,
32.5,0.5,12,40,,,
32.75,0.5,12,40,,,
33,0.6,12,40,,,
33.25,0.6,12,40,,,
33.5,0.6,12,40,,,
33.75,0.6,12,40,,,
34,0.6,12,40,,,
34.25,0.6,12,40,,,
34.5,0.6,12,40,,,
34.75,0.6,12,40,,,
35,0.6,12,40,,,
35.25,0.6,12,40,,,
35.5,0.6,12,40,,,
35.75,0.6,12,40,,,
36,0.6,12,40,,,
36.25,0.6,12,40,,,
36.5,0.6,12,40,,,
36.75,0.6,12,40,,,
37,0.6,12,40,,,
37.25,0.6,12,40,,,
37.5,0.6,12,40,,,
37.75,0.6,12,40,,,
38,0.6,12,40,,,
38.25,0.6,12,40,,,
38.5,0.6,12,40,,,
38.75,0.6,12,40,,,
39,0.7,12,40,,,
39.25,0.7,12,40,,,
39.5,0.7,12,40,,,
39.75,0.7,12,40,,,
40,0.7,12,40,,,
40.25,0.7,12,40,,,
40.5,0.7,12,40,,,
40.75,0.7,12,40,,,
41,0.7,12,40,,,
41.25,0.7,12,40,,,
41.5,0.7,12,40,,,
41.75,0.7,12,40,,,
42,0.7,12,40,,,
42.25,0.7,12,40,,,
42.5,0.7,12,40,,,
42.75,0.7,12,40,,,
43,0.7,12,40,,,
43.25,0.7,12,40,,,
43.5,0.7,12,40,,,
43.75,0.7,12,40,,,
44,0.7,12,40,,,
44.25,0.7,12,40,,,
44.5,0.7,12,40,,,
44.75,0.7,12,40,,,
45,0.8,12,40,,,
45.25,0.8,12,40,,,
45.5,0.8,12,40,,,
45.75,0.8,12,40,,,
46,0.8,12,40,,,
46.25,0.8,12,40,,,
46.5,0.8,12,40,,,
46.75,0.8,12,40,,,
47,0.8,12,40,,,
47.25,0.8,12,40,,,
47.5,0.8,12,40,,,
47.75,0.8,12,40,,,
48,0.8,12,40,,,
