Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem),,,
0,0.0,15,50,,,
0.25,0.0,15,50,,,
0.5,0.0,15,50,,,
0.75,0.0,15,50,,,
1,0.0,15,50,,,
1.25,0.0,15,50,,,
1.5,0.0,15,50,,,
1.75,0.0,15,50,,,
2,0.0,15,50,,,
2.25,0.0,15,50,,,
2.5,0.0,15,50,,,
2.75,0.0,15,50,,,
3,0.1,15,50,,,
3.25,0.1,15,50,,,
3.5,0.1,15,50,,,
3.75,0.1,15,50,,,
4,0.1,15,50,,,
4.25,0.1,15,50,,,
4.5,0.1,15,50,,,
4.75,0.1,15,50,,,
5,0.1,15,50,,,
5.25,0.1,15,50,,,
5.5,0.1,15,50,,,
5.75,0.1,15,50,,,
6,0.1,15,50,,,
6.25,0.1,15,50,,,
6.5,0.1,15,50,,,
6.75,0.1,15,50,,,
7,0.1,15,50,,,
7.25,0.1,15,50,,,
7.5,0.1,15,50,,,
7.75,0.1,15,50,,,
8,0.1,15,50,,,
8.25,0.1,15,50,,,
8.5,0.1,15,50,,,
8.75,0.1,15,50,,,
9,0.2,15,50,,,
9.25,0.2,15,50,,,
9.5,0.2,15,50,,,
9.75,0.2,15,50,,,
10,0.2,15,50,,,
10.25,0.2,15,50,,,
10.5,0.2,15,50,,,
10.75,0.2,15,50,,,
11,0.2,15,50,,,
11.25,0.2,15,50,,,
11.5,0.2,15,50,,,
11.75,0.2,15,50,,,
12,0.2,15,50,,,
12.25,0.2,15,50,,,
12.5,0.2,15,50,,,
12.75,0.2,15,50,,,
13,0.2,15,50,,,
13.25,0.2,15,50,,,
13.5,0.2,15,50,,,
13.75,0.2,15,50,,,
14,0.2,15,50,,,
14.25,0.2,15,50,,,
14.5,0.2,15,50,,,
14.75,0.2,15,50,,,
15,0.3,15,50,,,
15.25,0.3,15,50,,,
15.5,0.3,15,50,,,
15.75,0.3,15,50,,,
16,0.3,15,50,,,
16.25,0.3,15,50,,,
16.5,0.3,15,50,,,
16.75,0.3,15,50,,,
17,0.3,15,50,,,
17.25,0.3,15,50,,,
17.5,0.3,15,50,,,
17.75,0.3,15,50,,,
18,0.3,15,50,,,
18.25,0.3,15,50,,,
18.5,0.3,15,50,,,
18.75,0.3,15,50,,,
19,0.3,15,50,,,
19.25,0.3,15,50,,,
19.5,0.3,15,50,,,
19.75,0.3,15,50,,,
20,0.3,15,50,,,
20.25,0.3,15,50,,,
20.5,0.3,15,50,,,
20.75,0.3,15,50,,,
21,0.4,15,50,,,
21.25,0.4,15,50,,,
21.5,0.4,15,50,,,
21.75,0.4,15,50,,,
22,0.4,15,50,,,
22.25,0.4,15,50,,,
22.5,0.4,15,50,,,
22.75,0.4,15,50,,,
23,0.4,15,50,,,
23.25,0.4,15,50,,,
23.5,0.4,15,50,,,
23.75,0.4,15,50,,,
24,0.4,15,50,,,
24.25,0.4,15,50,,,
24.5,0.4,15,50,,,
24.75,0.4,15,50,,,
25,0.4,15,50,,,
25.25,0.4,15,50,,,
25.5,0.4,15,50,,,
25.75,0.4,15,50,,,
26,0.4,15,50,,,
26.25,0.4,15,50,,,
26.5,0.4,15,50,,,
26.75,0.4,15,50,,,
27,0.5,15,50,,,
27.25,0.5,15,50,,,
27.5,0.5,15,50,,,
27.75,0.5,15,50,,,
28,0.5,15,50,,,
28.25,0.5,15,50,,,
28.5,0.5,15,50,,,
28.75,0.5,15,50,,,
29,0.5,15,50,,,
29.25,0.5,15,50,,,
29.5,0.5,15,50,,,
29.75,0.5,15,50,,,
30,0.5,15,50,,,
30.25,0.5,15,50,,,
30.5,0.5,15,50,,,
30.75,0.5,15,50,,,
31,0.5,15,50,,,
31.25,0.5,15,50,,,
31.5,0.5,15,50,,,
31.75,0.5,15,50,,,
32,0.5,15,50,,,
32.25,0.5,15,50,,,
32.5,0.5,15,50,,,
32.75,0.5,15,50,,,
33,0.6,15,50,,,
33.25,0.6,15,50,,,
33.5,0.6,15,50,,,
33.75,0.6,15,50,,,
34,0.6,15,50,,,
34.25,0.6,15,50,,,
