Time(s),Time(m),Wind Speed (knots @h.anem),Wind Direction (Relative to vessel long. axis@h.anem),,,
0,0.0,30.43,6.6,,,
0.25,0.0,30.43,4.1,,,
0.5,0.0,30.43,4.1,,,
0.75,0.0,30.43,6.5,,,
1,0.0,30.43,6.5,,,
1.25,0.0,29.33,356.9,,,
1.5,0.0,29.33,356.9,,,
1.75,0.0,30.43,9.5,,,
2,0.0,30.43,9.5,,,
2.25,0.0,31.35,2,,,
2.5,0.0,31.35,2,,,
2.75,0.0,30.43,3.7,,,
3,0.1,30.43,3.7,,,
3.25,0.1,32.28,0,,,
3.5,0.1,32.28,0,,,
3.75,0.1,33.2,2,,,
4,0.1,33.2,2,,,
4.25,0.1,34.12,2.3,,,
4.5,0.1,34.12,2.3,,,
4.75,0.1,33.2,2.4,,,
5,0.1,33.2,2.4,,,
5.25,0.1,33.2,357.3,,,
5.5,0.1,33.2,357.3,,,
5.75,0.1,31.35,5.1,,,
6,0.1,31.35,5.1,,,
6.25,0.1,31.35,3.8,,,
6.5,0.1,31.35,3.8,,,
6.75,0.1,33.2,3.5,,,
7,0.1,33.2,3.5,,,
7.25,0.1,32.28,5.8,,,
7.5,0.1,32.28,5.8,,,
7.75,0.1,33.2,2.8,,,
8,0.1,33.2,2.8,,,
8.25,0.1,34.12,2.2,,,
8.5,0.1,34.12,2.2,,,
8.75,0.1,32.28,1.6,,,
9,0.2,32.28,1.6,,,
9.25,0.2,33.2,1.3,,,
9.5,0.2,33.2,1.3,,,
9.75,0.2,33.2,1.7,,,
10,0.2,33.2,1.7,,,
10.25,0.2,32.28,2.5,,,
10.5,0.2,32.28,2.5,,,
10.75,0.2,32.28,2.7,,,
11,0.2,32.28,2.7,,,
11.25,0.2,33.2,4.1,,,
11.5,0.2,33.2,4.1,,,
11.75,0.2,32.28,2.7,,,
12,0.2,32.28,2.7,,,
12.25,0.2,32.28,1.7,,,
12.5,0.2,32.28,1.7,,,
12.75,0.2,33.2,1,,,
13,0.2,33.2,1,,,
13.25,0.2,32.28,0.6,,,
13.5,0.2,32.28,0.6,,,
13.75,0.2,32.28,358.8,,,
14,0.2,32.28,358.8,,,
14.25,0.2,32.28,0.1,,,
14.5,0.2,32.28,0.1,,,
14.75,0.2,31.35,0,,,
15,0.3,31.35,0,,,
15.25,0.3,30.43,6.8,,,
15.5,0.3,30.43,6.8,,,
15.75,0.3,29.33,3.3,,,
16,0.3,29.33,3.3,,,
16.25,0.3,31.35,3.8,,,
16.5,0.3,31.35,3.8,,,
16.75,0.3,31.35,3.4,,,
17,0.3,31.35,3.4,,,
17.25,0.3,31.35,0.9,,,
17.5,0.3,31.35,0.9,,,
17.75,0.3,31.35,2.1,,,
18,0.3,31.35,2.1,,,
18.25,0.3,30.43,4.6,,,
18.5,0.3,30.43,4.6,,,
18.75,0.3,29.33,4,,,
19,0.3,29.33,4,,,
19.25,0.3,29.33,4.6,,,
19.5,0.3,29.33,4.6,,,
19.75,0.3,29.33,4,,,
20,0.3,29.33,4,,,
20.25,0.3,29.33,6.1,,,
